Claim type,"Nutrient substance, food or food category", Claim, Conditions of use of the claim / Restrictions of use / Reasons for non-authorisation, Health relationship, EFSA opinion reference, Commission Regulation, Status, Entry Id
Art.13(1),Christe marine,"Draineur naturel Dépuratif stimulant l'élimination de l'eau et des toxines
Clarification provided
C. maritimum is depurative and diuretic","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not a beneficial physiological effect as required by the Regulation.",Increase in renal water elimination,2010;8(10):1742,,Non-authorised,2528
Art.13(1),Vitamin E,Due to Vitamin E favourable effects on free radicals it could support reducing the age related cognitive decline.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal cognitive function,2010;8(10):1816,,Non-authorised,182
Art.13(1),Food with a reduced glycemic response,"Due to its (modified) carbohydrate composition, this food has a lower blood glucose and insulin response;
This food has a [x%] lower impact on blood sugar levels than comparable foods and thus helps to maintain more steady blood sugar levels
graphical presentations of blood glucose response curves]","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2082,,Non-authorised,1122
Art.13(1),Carbohydrates that induce a reduced glycaemic response,"Due to its (modified) carbohydrate composition, this food has a lower blood glucose and insulin response; This food has a [x%] lower impact on blood sugar levels than comparable foods and thus helps to maintain more steady blood sugar levels;","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2010;8(2):1491,,Non-authorised,475
Art.13(1),Resveratrol,"Due to its antioxidant activity, resveratrol contributes to cell protection from the damage caused by free radicals. 
Provides antioxidant protection. Helps to scavenge free radicals which are responsible for skin aging. Helps to fight against skin aging thanks to its antioxidant activity.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,1957
Art.13(1),Lutein/;Zeaxanthin,"Due to the antioxidant properties lutein/ zeaxanthin/ contributes to the hindrance of harmful oxidative processes in the body, in this way to the maintenance of our health/ to the defence of the tissues.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","protection of DNA, proteins and lipids from oxidative damage",2010;8(10):1752,,Non-authorised,1914
Art.13(1),"EAS Creatine
(EAS Phosphagen)",EAS Creatine (EAS Phosphagen) is clinically tested to improve anaerobic work capacity,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in endurance capacity,2011;9(7):2303,,Non-authorised,1535
Art.13(1),EAS Phosphagen Elite,"EAS Phosphagen Elite is clinically shown to boost muscular strength
EAS Phosphagen Elite is clinically shown to increase strength by up to 15%
EAS Phosphagen Elite is designed to boost overall muscular strength
Boost muscular strength","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",growth or maintenance of muscle mass,2011;9(6):2247,,Non-authorised,1536
Art.13(1),EAS Phosphagen Elite,"EAS Phosphagen Elite is clinically shown to increase anaerobic threshold EAS Phosphagen Elite is clinically shown to increase physical
working capacity at fatigue threshold","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increase in endurance capacity,2011;9(6):2247,,Non-authorised,1537
Art.13(1),EAS Phosphagen Elite,"EAS Phosphagen Elite is designed to provide a higher quality workout,
and the addition of beta alanine appears to enhance average training
volume more so than creatine alone
EAS Phosphagen Elite is clinically shown to result in greater training volume threshold","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increase in endurance capacity,2011;9(6):2247,,Non-authorised,1538
Art.13(1),EAS Phosphagen Elite,"EAS Phosphagen Elite is designed to provide a higher quality workout,
and the addition of beta alanine appears to enhance average training
volume more so than creatine alone
EAS Phosphagen Elite is clinically shown to result in greater training volume threshold","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in endurance performance,2011;9(6):2247,,Non-authorised,1538
Art.13(1),EAS Phosphagen HP,"EAS Phosphagen HP can help improve total anaerobic work performed EAS Phosphagen HP is clinically tested to help improve anaerobic work capacity
EAS Phosphagen HP can help improve total anaerobic work performed","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increase in performance during intense and repeated anaerobic exercise bouts,2011;9(6):2247,,Non-authorised,1543
Art.13(1),EAS Phosphagen HP,"EAS Phosphagen HP is clinically shown to increase strength
EAS Phosphagen HP is clinically shown to boost muscular strength
EAS Phosphagen HP is designed to boost overall muscular strength","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",growth or maintenance of muscle mass,2011;9(6):2247,,Non-authorised,1540
Art.13(1),"Nuts - peanuts and tree nuts (almonds, hazelnuts, pecans, pistachios and walnuts), excluding brazil, macadamia and cashew nuts",Eating 30g of nuts per day as part of a balanced diet helps maintain heart health.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2032,,Non-authorised,1129
Art.13(1),"Nuts - peanuts and tree nuts (almonds, hazelnuts, pecans, pistachios and walnuts), excluding brazil, macadamia and cashew nuts",Eating 30g of nuts per day as part of an energy restricted diet helps maintain a healthy weigh,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2032,,Non-authorised,1130
Art.13(1),Partially Hydrolysed Guar Gum (PHGG),Eating a diet high in fiber can help control postprandial glucose levels and serum lipid profiles and promote healthy triglyceride levels Dietary fiber helps improve glycemic control so you maintain normal blood sugar and insulin levels essential for good health PHGG helps to regulate plasma glucose levels and glycemic index of the foods after meals.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Reduction of post-prandial glycaemic response,2010;8(2):1465,,Non-authorised,789
Art.13(1),Partially Hydrolysed Guar Gum (PHGG),Eating a diet high in fiber can help you control your weight Eating a diet high in fiber can help you maintain your weight by helping to curb your cravings. Diets rich in soluble fiber may help decrease feelings of hunger,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increase in Satiety,2010;8(2):1465,,Non-authorised,790
Art.13(1),Partially Hydrolysed Guar Gum (PHGG),Eating a diet high in fiber can help you control your weight Eating a diet high in fiber can help you maintain your weight by helping to curb your cravings. Diets rich in soluble fiber may help decrease feelings of hunger,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Maintenance or achievement of a normal body weight,2010;8(2):1465,,Non-authorised,790
Art.13(1),Vegetables of 5 colors,Eating a variety of colorful vegetables helps to protect your health. Eating vegetables of all the available colors helps to get all the nutrients and protective substances that will contribute to the wellbeing of your body.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",&quot;general health&quot;,2010;8(10):1738,,Non-authorised,1313
Art.13(1),"Food Category:  Fish 
Food: Cultured Sea bass and Gilthead Sea bream                    
Food Component / Nutrient: EPA & DHA Omega 3 Highly Unsaturated fatty acids","Eating cultured sea bass and gilthead sea bream twice a week, as a rich source of omega-3 highly unsaturated fatty acids and part of a healthy lifestyle, has been shown to help maintain heart health","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal blood LDL-cholesterol concentrations,2010;8(10):1796,,Non-authorised,1317
Art.13(1),Echium oil,"Echium oil contains omega-3 fatty acid, stearidonic acid, which is efficiently metabolized in the body to anti-inflammatory n-3 LC PUFA's, i.e. EPA and DPA.
Echium oil contains omega-6 fatty acid, y-linoleic acid, which is efficiently metabolized in the body.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not a beneficial physiological effect as required by the Regulation.",Reduction of inflammation,2011;9(4):2061,,Non-authorised,546
Art.13(1),Rapsöl (einfach ungesättigte Fettsäuren),"Einfach ungesättigte Fettsäuren halten die Arterien elastisch.
Clarification provided
Monounsaturated fatty acids keep arteries elastic.
Example of wording:
Monounsaturated fatty acids improve blood lipid levels.
Monounsaturated fatty acids have a positive effect on blood lipid levels.
Monounsaturated fatty acids stabilize blood lipid levels.
Monounsaturated fatty acids maintain HDL cholesterol at constant levels.
Omega-6 fatty acids keep arteries elastic.
Omega-6 fatty acids stabilize blood lipid levels.
Omega-6 fatty acids improve blood lipid levels","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Maintenance of normal blood HDL-cholesterol concentrations,2011;9(4):2068,,Non-authorised,1408
Art.13(1),Rapsöl (einfach ungesättigte Fettsäuren),"Einfach ungesättigte Fettsäuren halten die Arterien elastisch.
Clarification provided
Monounsaturated fatty acids keep arteries elastic.
Example of wording:
Monounsaturated fatty acids improve blood lipid levels.
Monounsaturated fatty acids have a positive effect on blood lipid levels.
Monounsaturated fatty acids stabilize blood lipid levels.
Monounsaturated fatty acids maintain HDL cholesterol at constant levels.
Omega-6 fatty acids keep arteries elastic.
Omega-6 fatty acids stabilize blood lipid levels.
Omega-6 fatty acids improve blood lipid levels","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal blood LDL-cholesterol concentrations,2011;9(4):2068,,Non-authorised,1408
Art.13(1),Galacto-oligosaccharides,"Energises your immunity boosting bacteria
Helps boost your body's self defence","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not a beneficial physiological effect as required by the Regulation.",Increasing numbers of gastro-intestinal microorganisms,2011;9(4):2061,,Non-authorised,764
Art.13(1),Carbohydrate foods and beverages,"Enhances / maximises glycogen stores.
Carbohydrate before, during exercise improves endurance performance / perform for longer.
Carbohydrate rich diets before exercise help elevate pre-exercise glycogen stores.
Ingestion during exercise maintains blood glucose.
Glucose is the body’s naturally preferred source of energy during intense exercise.
Consumption in events as short as 1 hr improves exercise performance.
Endurance capacity / time to exhaustion / delays fatigue.
Carbohydrate loading can delay fatigue and benefits endurance and multiple sprint sports.
Energy for endurance / fuel for your muscles.
Carbohydrate before and after exercise extends endurance time and work output more than either alone.
Glycogen Sparing.
Ingestion during exercise maintains blood glucose.
Glucose is the body’s naturally preferred source of energy during intense exercise.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(6):2244,,Non-authorised,1279
Art.13(1),Probiotic strain: Bifidobacterium lactis W51,Enhances levels of beneficial bacteria in the intestine,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2010;8(2):1470,,Non-authorised,3002
Art.13(1),Probiotic strain: Bifidobacterium lactis W52 (Formerly known as Bifidobacterium infantis W52),Enhances levels of beneficial bacteria in the intestine,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2010;8(2):1470,,Non-authorised,2987
Art.13(1),Probiotic strain: Lactobacillus salivarius W24,Enhances levels of beneficial bacteria in the intestine,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2010;8(2):1470,,Non-authorised,2977
Art.13(1),Probiotic supplement: Winclove 500,Enhances levels of beneficial bacteria in the intestine ;Enhances the level of lactobacilli and bifidobacteria in the intestine,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2010;8(2):1470,,Non-authorised,2996
Art.13(1),Caffeinated carbohydrate containing energy drinks,"Enhances mental performance, reaction time, alertness, focus and memory.
Energises. Gives you an energy boost. Enhances mental energy. Enhances alertness quickly.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2082,,Non-authorised,1272
Art.13(1),"Lactobacillus acidophilus, Bifidobacterium (BB46); Bifidobacterium (BB02),Bifidobacterium Breve(Bbr8 LMG P-17501)CSL, Lactobacillus Rhamnosus ATC C53103 (LGG), <em>Lactobacillus casei</em> 101/37(Img P-17504), Lactobacillus delbruekii spp <em>bulgaricus</em> AY/CSL (LMG P1",Enhances natural immune response. Helps to strengthen the immune defences. Helps to strenghten the natural defences.Helps to strenghten the body defences. Eneificially affects the intestinal microflora. Balances the intestinal microflora. Enhances level o,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2009;7(9):1247,,Non-authorised,2948
Art.13(1),L/cysteine,Enhances resistance and stimulates the growth of hair and nails. / Hair and nails revitalizing agent,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal collagen formation,2010;8(10):1795,,Non-authorised,4685
Art.13(1),L/cysteine,Enhances resistance and stimulates the growth of hair and nails. / Hair and nails revitalizing agent,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal hair,2010;8(10):1795,,Non-authorised,4685
Art.13(1),L/cysteine,Enhances resistance and stimulates the growth of hair and nails. / Hair and nails revitalizing agent,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal nails,2010;8(10):1795,,Non-authorised,4685
Art.13(1),Bifidobacterium infantis UCC35624,"Enhances the body’s natural immune response.

Helps positively influence a healthy immune system","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2009;7(9):1247,,Non-authorised,1094
Art.13(1),Biotin,"Ensures normal functioning of the body’s organ tissues and systems, particularly in old age - Stimulates physical work capacities - Recommended in case of intense fatigue and during recovery","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",reduction of tiredness and fatigue,2010;8(10):1728,,Non-authorised,119
Art.13(1),Colostrum bovin,"Entretien l'énergie et le tonus
Renforce la vitalité
A utiliser en cas de fatigue passagère","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2048,,Non-authorised,1890
Art.13(1),Anthocyanidines + proanthocyanidines,Especially for the eye health of older people,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2083,,Non-authorised,1791
Art.13(1),Arginine,Essential amino acid that plays an important role in the immune system.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Immune system functions”,2011;9(4):2051,,Non-authorised,1713
Art.13(1),Lysine,"Essential amino acid, needed for the synthesis of proteins necessary for maintenance of the body/ body tissues (collagen, teeth, bones and muscles)/ body function.
Increases absorption, action and fixation of calcium, essential for optimal muscle, bone and teeth.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Contribution to normal protein synthesis,2011;9(4):2063,,Non-authorised,609
Art.13(1),Lysine,"Essential amino acid, needed for the synthesis of proteins necessary for maintenance of the body/ body tissues (collagen, teeth, bones and muscles)/ body function.
Increases absorption, action and fixation of calcium, essential for optimal muscle, bone and teeth.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",Increase in calcium absorption leading to an increase in calcium retention,2011;9(4):2063,,Non-authorised,609
Art.13(1),L-tyrosine,Essential component of almost all proteins in the body.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, no quantitative indication of the necessary daily intake, to obtain the beneficial effect, could be provided for this food.",Contribution to normal synthesis of catecholamines,2011;9(6):2270,,Non-authorised,1928
Art.13(1),Essential Fatty Acids,Essential fatty acids to aid in digestive tract function.,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Digestive function”,2011;9(6):2228,,Non-authorised,692
Art.13(1),L-tyrosine,"Essential for the natural formation of dopamine, required for normal muscle function and contraction","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal muscle function,2011;9(6):2270,,Non-authorised,1929
Art.13(1),magnésium,Essentiel à la régulation de la pression artérielle,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, the evidence provided is insufficient to substantiate this claimed effect for this food.",Maintenance of normal blood pressure,2010;8(10):1807,,Non-authorised,379
Art.13(1),"Name of Food product: Olive Biophenols

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product:
A potent source of olive biophenols with anti-inflammatory properties
Examples of any alternative wording that may be used in relation to claim: Olive biophenols can reduce inflammation related to Osteoarthritis and Rheumatoid arthritis
Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect attributes to this food the property of preventing, treating or curing a human disease, or refers to such properties which is prohibited for foods.",“anti-inflammatory properties”,2011;9(4):2033,,Non-authorised,1882
Art.13(1),"Name of Food product: Olive Biophenols

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",Exact wording of claim as it appears on product: A potent source of antioxidant biophenols for strengthening and balancing of the immune system from free radicals Examples of any alternative wording that may be used in relation to claim: Olive biophenols are important for a balanced immune system. Antioxidant activity of olive biophenols for healthy and balanced immune system Is claim a picture: No,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,1367
Art.13(1),"Name of Food product: Olive Biophenols

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: A potent source of olive biophenols that have anti-UV damage properties
Examples of any alternative wording that may be used in relation to claim: Olive biophenols can help in repairing skin damage due to sun burn and UV rays Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2010;8(2):1489,,Non-authorised,1878
Art.13(1),"Name of Food product: Alfalfa Shoots

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Alfalfa Shoots are naturally good for your heart
Is claim a picture: No
Clarification provided
Exact wording of claim as it appears on product: Alfalfa Shoots are naturally good for your heart Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(4):2082,,Non-authorised,1361
Art.13(1),"Name of Food product: Sqeez Wild Blueberry Juice Drink

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Blueberries have a wide range of health benefits including anti-ageing properties and the maintenance of urinary tract and vision health
Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(6):2244,,Non-authorised,1370
Art.13(1),"Name of Food product: Sqeez Wild Blueberry Juice Drink

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Blueberries have a wide range of health benefits including anti-ageing properties and the maintenance of urinary tract and vision health.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Anti- aging properties”,2011;9(6):2228,,Non-authorised,1352
Art.13(1),"Name of Food product: Sqeez Wild Blurberry Juice Drink

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Blueberries have a wide range of health benefits including anti-ageing properties and the maintenance of urinary tract and vision health.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Maintenance of urinary tract”,2011;9(6):2228,,Non-authorised,1369
Art.13(1),"Name of Food product: Brocco Shoots

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Brocco Shoots naturally boost your immune system.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this food is not sufficiently characterised for a scientific assessment of this claimed effect and the claim could not therefore be substantiated.",not validated,2011;9(6):2243,,Non-authorised,1362
Art.13(1),"Name of Food product: chocolate

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Cocoa beans naturally contain polyphenols. Cocoa polyphenols are known for their antioxidant properties.
Examples of any alternative wording that may be used in relation to claim: Cocoa flavonols show antioxidative effects and help protect the cells against oxidative stress,help protect you from radicals which cause cell damage, help strengthen our body's natural defences againist oxidative stress.
Description of picture: A cocoa bean.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",protection of lipids from oxidative damage,2010;8(10):1792,,Non-authorised,1372
Art.13(1),Name of Food product: coffee Description of food in terms of food legislation categories: food not covered by specific food legislation Was food on Irish market before 1st July 2007: Yes,"Exact wording of claim as it appears on product: Coffee naturally contains antioxidants, that may support the body's natural cell defences.
Examples of any alternative wording that may be used in relation to claim: Coffee is a major dietary source of antioxidants. Antioxidants from dietary sources: protect from free radicals which cause cell damage; protect body tissues, lipids, cells and DNA from oxidative damage; help strengthen the body's natural defences against oxidative stress.
Is claim a picture: Yes
Description of picture: A coffee bean","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.","Protection of DNA, proteins and lipids from oxidative damage",2011;9(4):2057,,Non-authorised,4301
Art.13(1),"Name of Food product: fermented dairy products

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Enhances natural resistance.
Strengthen your immunity.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Immune function/immune system”,2011;9(4):2061,,Non-authorised,1374
Art.13(1),"Name of Food product: Folic Acid/ folate

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No",Exact wording of claim as it appears on product: Folate (Folic Acid) helps keep arteries healthy Examples of any alternative wording that may be used in relation to claim: Folate (Folic Acid) helps keep blood vessels healthy Folate promotes a healthy heart,"Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",function of blood vessels,2009;7(9):1213,,Non-authorised,192
Art.13(1),"Name of Food product: Product-specific claim: sodium alginate, HCA and piperine

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: Helps manage appetite and hunger.
Examples of any alternative wording that may be used in relation to claim: Contributes to reduce the appetite/Can help in the management of weight control/Promotes the feeling of fullness and satiety/Helps to fel full sooner/Helps to stay full longer/Assists weight management/Helps to reduce the appetite and inhibits conversion of carbohydrates to fats/Helps maintain a healthy level of appetite.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",increase in satiety leading to a reduction in energy intake,2011;9(6):2246,,Non-authorised,1884
Art.13(1),"Name of Food product: Product-specific claim: Sodium alginate and ascophyllum nodosum

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: Helps manage blood glucose and insulin levels.
Examples of any alternative wording that may be used in relation to claim: Reduces heightened glycaemic index/Blunts glucose and insuin elevation/Reduces the glycaemic load of a meal/Helps maintain a normal blood glucose level as part of a healthy lifestyle/Contributes to normal blood glucose levels as part of a healthy lifestyle/Contributes to normal glucose/insulin metabolism/Helps control blood glucose levels/Supports maintenance of normal glucose levels.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",reduction of post-prandial glycaemic responses,2011;9(6):2261,,Non-authorised,1881
Art.13(1),"Name of Food product: Product-specific claim: Sodium alginate and ascophyllum nodosum

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: Helps manage blood glucose levels.
Examples of any alternative wording that may be used in relation to claim: Reduces heightened glycaemic index/Blunts glucose elevation/Reduces glycaemic load of a meal/Helps maintain a normal blood glucose level as part of a healthly lifestyle/Contributes to normal glucose metabolism/Helps control blood glucose levels/Supports maintenance of normal glucose levels.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",reduction of post-prandial glycaemic responses,2011;9(6):2261,,Non-authorised,1868
Art.13(1),"Name of Food product: Lentil & Bean Shoots

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes","Exact wording of claim as it appears on product: Lentil & Bean Shoots naturally boost your digestive system.
Is claim a picture: No.","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food is not sufficiently defined to be able to be assessed and the claim could not therefore be substantiated.",“Digestive function”,2011;9(6):2228,,Non-authorised,1357
Art.13(1),"Name of Food product: methylsulpony/methane (MSM)

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Examples of any alternative wording that may be used in relation to claim: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Help keep your hair nails and skin healthy and strong. Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",contribution to normal collagen formation,2010;8(10):1746,,Non-authorised,1874
Art.13(1),"Name of Food product: methylsulpony/methane (MSM)

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Examples of any alternative wording that may be used in relation to claim: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Help keep your hair nails and skin healthy and strong. Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal hair,2010;8(10):1746,,Non-authorised,1874
Art.13(1),"Name of Food product: methylsulpony/methane (MSM)

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No","Exact wording of claim as it appears on product: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Examples of any alternative wording that may be used in relation to claim: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Help keep your hair nails and skin healthy and strong. Is claim a picture: No","Non-compliance with the Regulation because on the basis of the scientific evidence assessed, this claimed effect for this food has not been substantiated.",maintenance of normal nails,2010;8(10):1746,,Non-authorised,1874
